person_id,virtual_date,cash,asset,wealth,work_income,capital_gain,daily_expense,principle
-1,0,0,105000,105000,0,0,0,NA
0,0,38056.386544239074,1960.0600000000002,40016.44654423907,500,16.47999999999996,60,conservative
1,0,30002.044499029245,0,30002.044499029245,400,0,80,radical
2,0,50000,0,50000,600,0,90,radical
3,0,43455.925654367995,1553.44,45009.365654368,550,9.360000000000014,70,conservative
4,0,30896.83951914949,1110.3000000000002,32007.13951914949,350,7.139999999999986,50,moderate
5,0,30792.21158918005,29211.15,60003.36158918005,700,3.600000000000051,100,aggressive
6,0,40000,0,40000,450,0,60,moderate
7,0,53909.875,1110.3000000000002,55020.175,600,20.160000000000082,80,conservative
8,0,58983.44745401147,1016.55,59999.99745401147,700,0,70,aggressive
0,1,36109.364958163336,3377.67,39487.034958163335,500,114.19999999999999,865.0889308847815,conservative
1,1,18717.844541955466,10690.81,29408.654541955468,400,44.72999999999968,680.0408899805849,radical
2,1,1145.577931913126,47764.82,48910.397931913125,600,0,1090,radical
3,1,41082.06367532404,3214.96,44297.02367532404,550,82.96000000000004,973.9473130873599,conservative
4,1,29197.035000869884,2319.48,31516.515000869884,350,77.27999999999997,692.7827903829898,moderate
5,1,55316.943830910976,8253.53,63570.473830910974,700,120.81999999999971,1393.387231783601,aggressive
6,1,38389.98119175423,773.16,39163.141191754235,450,23.159999999999968,860,moderate
7,1,50902.41751749594,3142.1,54044.51751749594,600,95.49999999999994,1183.0435,conservative
8,1,47397.487232011474,11492.26,58889.747232011476,700,37.15000000000046,1272.4999490802295,aggressive
-1,1,44914.060345222235,71279.42690947093,116193.48725469317,0,0,0,NA
0,2,35643.78425900007,3427.94,39071.724259000075,500,164.47000000000023,857.5806991632667,conservative
1,2,30417.343859358552,0,30417.343859358552,400,0,701.7130908391093,radical
2,2,2306.184815115766,51148.54,53454.72481511577,600,1.9200000000000728,1182.7079586382624,radical
3,2,39868.86672042074,3877.26,43746.12672042074,550,119.55000000000021,963.4604735064808,conservative
4,2,28358.26746882032,2791.48,31149.74746882032,350,132.12000000000023,685.6103000173977,moderate
5,2,35616.45470929747,27874.88,63491.33470929747,700,172.1800000000008,1396.7294766182195,aggressive
6,2,36281.00492802944,2144.7799999999997,38425.78492802944,450,42.84000000000006,845.0228238350848,moderate
7,2,50136.46716714602,3195.1000000000004,53331.567167146015,600,148.50000000000028,1168.9503503499188,conservative
8,2,42947.39219060684,16468.02,59415.41219060685,700,65.57000000000053,1283.4149446402296,aggressive
-1,2,108307.4742372095,19135.249181588002,127442.72341879751,0,0,0,NA
0,3,33933.734598991025,4683.02,38616.75459899103,500,166.69000000000025,849.2744851800015,conservative
1,3,29728.996982171382,0,29728.996982171382,400,0,688.3468771871711,radical
2,3,10040.327391640323,48499.4,58539.72739164032,600,64.31999999999653,1285.1944963023154,radical
3,3,39365.92418601232,3880.56,43246.48418601232,550,122.85000000000002,953.9425344084148,conservative
4,3,27992.992519443913,2792.08,30785.072519443915,350,132.7200000000002,679.2749493764064,moderate
5,3,36995.70164381245,28502.120000000003,65497.82164381245,700,173.38000000000085,1438.7066941859496,aggressive
6,3,35724.92922946885,2145.68,37870.60922946885,450,43.74000000000001,834.0756985605888,moderate
7,3,48549.260297104345,4030.6200000000003,52579.88029710435,600,148.50000000000028,1154.6913433429204,conservative
8,3,44200.823946794706,16469.52,60670.3439467947,700,67.07000000000045,1309.5682438121369,aggressive
-1,3,137070.30920456068,0,137070.30920456068,0,0,0,NA
0,4,34885.83457322306,3432.44,38318.27457322306,500,149.35000000000034,843.1750919798205,conservative
1,4,29054.417042527955,0,29054.417042527955,400,0,674.5799396434277,radical
2,4,53756.19288689895,9448.289999999999,63204.48288689895,600,17.670000000000073,1380.3945478328064,radical
3,4,38872.974502292076,3885.51,42758.48450229208,550,127.80000000000021,943.9496837202464,conservative
4,4,27635.011069055035,2792.98,30427.991069055035,350,133.62000000000023,671.9814503888783,moderate
5,4,39034.3652109362,28504.370000000003,67538.7352109362,700,175.63000000000093,1480.336432876249,aggressive
6,4,35179.95704487947,2147.0299999999997,37326.98704487947,450,45.09000000000006,822.972184589377,moderate
7,4,47910.60269116226,4032.4200000000005,51943.02269116226,600,150.30000000000035,1141.657605942087,conservative
8,4,5059.621958555523,56872.46000000001,61932.08195855553,700,100.60000000000093,1334.6668789358941,aggressive
-1,4,146364.0230204694,0,146364.0230204694,0,0,0,NA
0,5,34443.6290817586,3432.44,37876.0690817586,500,149.35000000000034,834.2054914644613,conservative
1,5,28393.328701677397,0,28393.328701677397,400,0,661.0883408505591,radical
2,5,53681.00322916097,9448.289999999999,63129.29322916097,600,17.670000000000073,1380.1896577379791,radical
3,5,38389.78481224623,3885.51,42275.29481224623,550,127.80000000000021,934.1896900458415,conservative
4,5,27284.171247673934,2792.98,30077.151247673934,350,133.62000000000023,664.8398213811007,moderate
5,5,41032.21050671748,28504.370000000003,69536.58050671748,700,175.63000000000093,1521.154704218724,aggressive
6,5,34645.85730398188,2147.0299999999997,36792.88730398188,450,45.09000000000006,812.0997408975894,moderate
7,5,47284.68223733902,4032.4200000000005,51317.102237339015,600,150.30000000000035,1128.9204538232452,conservative
8,5,10991.220319384413,56872.46000000001,67863.68031938442,700,100.60000000000093,1456.4016391711107,aggressive
-1,5,155757.11256006002,0,155757.11256006002,0,0,0,NA
