person_id,virtual_date,gossip
0,0,None
1,0,None
2,0,None
3,0,None
4,0,None
5,0,None
6,0,None
7,0,None
8,0,None
0,1,offline
1,1,offline
2,1,offline
3,1,offline
4,1,offline
5,1,offline
6,1,offline
7,1,offline
8,1,offline
0,2,offline
1,2,offline
2,2,offline
3,2,offline
4,2,offline
5,2,offline
6,2,offline
7,2,offline
8,2,offline
0,3,offline
1,3,offline
2,3,offline
3,3,offline
4,3,offline
5,3,offline
6,3,offline
7,3,offline
8,3,offline
0,4,offline
1,4,offline
2,4,offline
3,4,offline
4,4,offline
5,4,offline
6,4,offline
7,4,offline
8,4,offline
