stock_id,virtual_date,weekday,volume,quantity,last_price,begin_price,highest_price,lowest_price
0,-4,0,0,0,110,110,110,110
0,-3,0,0,0,130,130,130,130
0,-2,0,0,0,90,90,90,90
0,-1,0,0,0,160,160,160,160
0,0,0,0,0,180,180,180,180
1,-4,0,0,0,80,80,80,80
1,-3,0,0,0,95,95,95,95
1,-2,0,0,0,70,70,70,70
1,-1,0,0,0,115,115,115,115
1,0,0,1270.937832167832,9,141.54195804195805,140,141.54195804195805,140
2,-4,0,0,0,220,220,220,220
2,-3,0,0,0,190,190,190,190
2,-2,0,0,0,210,210,210,210
2,-1,0,0,0,180,180,180,180
2,0,0,0,0,200,200,200,200
-1,0,0,1270.94,9,179.26833166833163,178.85714285714283,179.26833166833163,178.86
0,1,0,0,0,180,180,180,180
1,1,0,0,0,141.54195804195805,141.54195804195805,141.54195804195805,141.54195804195805
2,1,0,0,0,200,200,200,200
-1,1,0,0,0,179.26833166833163,179.26833166833163,179.26833166833163,179.26833166833163
